local_time,status_temperatuur,temperatuur_hoog,temperatuur_laag,kastemperatuur
28/09/2022 6:30 AM,0,20,15,16.2
28/09/2022 6:35 AM,0,20,15,16.2
28/09/2022 6:40 AM,0,20,15,16.2
28/09/2022 6:45 AM,0,20,15,16.2
28/09/2022 6:50 AM,0,20,15,16.2
28/09/2022 6:55 AM,0,20,15,16.3
28/09/2022 7:00 AM,0,20,15,16.2
28/09/2022 7:05 AM,0,20,15,16.2
28/09/2022 7:10 AM,0,20,15,16.2
28/09/2022 7:15 AM,0,20,15,16.2
28/09/2022 7:20 AM,0,20,15,16.2
28/09/2022 7:25 AM,0,20,15,16.2
28/09/2022 7:30 AM,0,20,15,16.2
28/09/2022 7:35 AM,0,20,15,16.2
28/09/2022 7:40 AM,0,20,15,16.2
28/09/2022 7:45 AM,0,20,15,16.2
28/09/2022 7:50 AM,0,20,15,16.3
28/09/2022 7:55 AM,0,20,15,16.3
28/09/2022 8:00 AM,0,20,15,16.3
28/09/2022 8:05 AM,0,20,15,16.3
28/09/2022 8:10 AM,0,20,15,16.4
28/09/2022 8:15 AM,0,20,15,16.5
28/09/2022 8:20 AM,0,20,15,16.6
28/09/2022 8:25 AM,0,24,16,16.8
28/09/2022 8:30 AM,0,24,16,17.1
28/09/2022 8:35 AM,0,27,17,17.6
28/09/2022 8:40 AM,0,24,16,17.8
28/09/2022 8:45 AM,0,24,16,18
28/09/2022 8:50 AM,0,20,15,18
28/09/2022 8:55 AM,0,20,15,17.8
28/09/2022 9:00 AM,0,20,15,17.6
28/09/2022 9:05 AM,0,20,15,17.4
28/09/2022 9:10 AM,0,20,15,17.2
28/09/2022 9:15 AM,0,20,15,17
28/09/2022 9:20 AM,0,20,15,16.9
28/09/2022 9:25 AM,0,20,15,16.8
28/09/2022 9:30 AM,0,20,15,16.7
28/09/2022 9:35 AM,0,20,15,16.7
28/09/2022 9:40 AM,0,20,15,16.7
28/09/2022 9:45 AM,0,20,15,16.7
28/09/2022 9:50 AM,0,20,15,16.7
28/09/2022 9:55 AM,0,20,15,16.7
28/09/2022 10:00 AM,0,20,15,16.7
28/09/2022 10:05 AM,0,24,16,16.7
28/09/2022 10:10 AM,0,24,16,16.9
28/09/2022 10:15 AM,0,27,17,17.3
28/09/2022 10:20 AM,0,24,16,17.6
28/09/2022 10:25 AM,0,24,16,17.7
28/09/2022 10:30 AM,0,20,15,17.7
28/09/2022 10:35 AM,0,20,15,17.7
28/09/2022 10:40 AM,0,24,16,17.6
28/09/2022 10:45 AM,0,24,16,17.7
28/09/2022 10:50 AM,0,27,17,18.1
28/09/2022 10:55 AM,0,27,17,18.5
28/09/2022 11:00 AM,0,27,17,19.2
28/09/2022 11:05 AM,0,27,17,20
28/09/2022 11:10 AM,0,27,17,19.6
28/09/2022 11:15 AM,0,27,17,19.6
28/09/2022 11:20 AM,0,27,17,19.9
28/09/2022 11:25 AM,0,27,17,19.6
28/09/2022 11:30 AM,0,27,17,19.6
28/09/2022 11:35 AM,0,27,17,19.7
